Title,Rating,Year,Popularity
A City Chronicles,4.2,2024,1.24
A City Divided,6.7,2022,10.29
A Eclipse Divided,7.1,2007,100.0
A Empire Chronicles,8.3,1996,100.0
A Hunter Eternal,5.4,1992,100.0
A Kingdom Awakened,8.3,2019,8.39
A Legacy Divided,8.9,2009,37.6
A Mountain Awakened,8.7,2007,100.0
A Ocean Divided,7.8,2020,18.19
A Phoenix Divided,8.3,2021,1.09
A Phoenix Legacy,4.6,2003,19.62
A Shadow Forever,5.8,2004,12.28
A Storm Chronicles,7.8,1993,11.33
A Storm Chronicles Part 1,6.9,2023,30.44
A Storm Found,7.0,2006,100.0
A Thunder,8.1,2014,1.11
A Universe Reborn,3.3,2020,2.36
A Valley Forever,4.5,2013,100.0
A Warrior Awakened,8.2,2002,48.27
A Warrior Returns,5.2,2011,17.05
An City Divided,5.8,2019,4.07
An Dawn Found,8.5,2014,100.0
An Dawn Lost,4.7,1999,7.08
An Dawn Returns,8.8,2017,11.48
An Destiny,9.8,2023,4.94
An Guardian Divided,8.9,2021,7.76
An Horizon Chronicles,7.1,1995,2.91
An Hunter Divided,6.0,2005,31.03
An Hunter Origins,5.0,2016,3.06
An Kingdom Forever,7.6,1987,1.49
An Midnight Rises,9.2,1996,3.79
An Paradise Lost,8.2,2023,10.26
An Phoenix Reborn,7.5,2017,33.86
An Shadow Legacy,4.0,2021,7.07
An Shadow Returns,8.2,2020,21.93
An Universe Eternal,9.0,2008,11.09
An Valley Reborn,9.4,2016,18.17
An Vengeance,7.5,2006,37.37
An Vengeance Awakened,8.7,2018,11.07
An Vengeance Returns,8.6,2007,14.88
An Vengeance Returns Part 1,8.5,2007,8.55
Beyond the Dawn Forever,7.0,2004,55.47
Beyond the Dawn Origins,5.1,2021,2.27
Beyond the Dragon Origins,7.9,2020,100.0
Beyond the Eclipse Divided,8.2,2002,52.24
Beyond the Eclipse Found,9.7,1995,2.71
Beyond the Empire Awakened,7.5,2018,32.89
Beyond the Guardian Eternal,6.4,2020,33.86
Beyond the Horizon Forever,7.1,2014,12.42
Beyond the Kingdom Forever,6.7,2006,20.34
Beyond the Ocean Chronicles,8.9,2019,1.13
Beyond the Redemption Returns,6.9,2010,100.0
Beyond the Storm,7.4,2022,12.05
Beyond the Thunder Forever,6.7,2007,24.75
Beyond the Thunder Origins,8.0,1995,11.34
Beyond the Universe Chronicles,4.3,2014,20.37
Beyond the Universe Found,9.4,2006,0.61
Beyond the Universe Reborn,9.6,2012,1.95
Chronicles of City Awakened,7.1,2004,75.61
Chronicles of City Rises,9.7,2016,79.05
Chronicles of Destiny Eternal,4.7,2016,21.82
Chronicles of Destiny Reborn,6.8,2023,13.21
Chronicles of Destiny Rises,9.9,2001,20.46
Chronicles of Eclipse Forever,7.3,2002,93.71
Chronicles of Empire Legacy,8.2,2006,49.22
Chronicles of Guardian Chronicles,9.1,2001,7.73
Chronicles of Horizon Awakened,5.0,2003,8.94
Chronicles of Horizon Origins,6.4,2010,10.35
Chronicles of Horizon Rises,8.9,2013,13.48
Chronicles of Kingdom United,9.0,1995,61.84
Chronicles of Legacy Found,7.6,2015,9.06
Chronicles of Legacy Origins,6.9,2014,33.52
Chronicles of Paradise Returns,6.9,2018,3.37
Chronicles of Phoenix Legacy,9.7,2018,8.13
Chronicles of Shadow Returns,9.5,2011,27.52
Chronicles of Shadow United,7.4,2024,10.66
Chronicles of Thunder Eternal,9.3,2015,11.92
Chronicles of Thunder Origins,7.7,2006,9.5
Chronicles of Valley Chronicles,9.3,2011,18.2
Chronicles of Warrior Found,7.3,2018,1.23
Chronicles of Warrior Reborn,4.7,2018,10.54
City 1,5.4,2024,8.26
City 2,7.7,2021,5.0
City 3,8.6,2016,20.42
City 3 Part 1,8.8,2023,63.18
City 4,7.8,2010,0.14
City 4 Part 1,6.4,2015,2.83
City 5,6.4,2002,11.63
City 5 Part 1,8.5,2001,0.9
City 5 Part 2,8.6,2003,100.0
City 5 Part 3,8.6,2009,72.45
City Code,5.4,2010,7.99
City Day,7.7,2018,42.06
City Effect,4.8,2001,11.28
City Effect Part 1,7.3,2011,1.48
City Game,8.9,2020,18.09
City Game Part 1,8.7,1995,4.0
City Night,5.7,2011,100.0
City Night Part 1,8.5,2014,9.81
City Theory,8.0,2011,4.23
Dark Destiny,7.6,2009,67.84
Dark Empire,5.5,2020,3.77
Dark Guardian,9.8,2023,2.66
Dark Guardian Part 1,6.8,2015,29.31
Dark Horizon,4.3,2008,34.96
Dark Horizon Part 1,6.8,1997,62.54
Dark Legacy,8.4,1994,0.69
Dark Legacy Part 1,6.1,2009,12.72
Dark Legacy Part 2,7.1,2020,67.97
Dark Midnight,7.3,2023,2.61
Dark Midnight Part 1,5.3,2017,3.49
Dark Midnight Part 2,5.1,2005,5.81
Dark Midnight Part 3,8.1,2015,100.0
Dark Mountain,6.6,2002,100.0
Dark Mountain Part 1,6.6,2018,13.49
Dark Ocean,6.6,1994,100.0
Dark Paradise,8.5,2005,30.42
Dark Paradise Part 1,6.2,1998,51.42
Dark Paradise Part 2,9.2,2010,34.14
Dark Phoenix,7.8,2009,4.06
Dark Phoenix Part 1,8.4,2007,61.37
Dark Phoenix Part 2,5.6,2008,31.35
Dark Phoenix Part 3,7.1,2016,11.25
Dark Phoenix Part 4,7.6,2018,12.37
Dark Redemption,6.2,2021,4.15
Dark Redemption Part 1,7.5,2004,1.75
Dark Shadow,6.3,2013,0.35
Dark Storm,9.1,2014,44.6
Dark Storm Part 1,4.6,2014,23.9
Dark Storm Part 2,9.4,2014,5.21
Dark Storm Part 3,8.3,2002,27.23
Dark Storm Part 4,4.6,2007,4.15
Dark Thunder,7.1,2020,100.0
Dark Thunder Part 1,8.9,2009,6.76
Dark Thunder Part 2,8.6,2017,12.76
Dark Thunder Part 3,9.8,1989,23.3
Dark Thunder Part 4,7.7,2014,4.16
Dark Universe,4.8,2016,1.84
Dark Valley,6.7,1989,100.0
Dark Valley Part 1,6.4,2003,7.8
Dark Valley Part 2,4.8,2012,5.89
Dark Valley Part 3,9.7,2020,4.4
Dark Vengeance,7.7,1999,6.15
Dark Vengeance Part 1,9.5,2021,18.78
Dark Vengeance Part 2,3.4,2012,81.3
Dark Vengeance Part 3,5.7,2015,9.2
Dark Warrior,6.9,2008,66.09
Dawn 1,6.1,2020,100.0
Dawn 2,9.0,2018,5.45
Dawn 3,6.4,2004,5.98
Dawn 4,6.7,2000,16.55
Dawn 5,9.0,2024,3.42
Dawn 5 Part 1,9.5,2008,4.9
Dawn 5 Part 2,8.8,2021,24.71
Dawn Code,8.1,2017,9.56
Dawn Code Part 1,6.6,2016,0.15
Dawn Day,9.1,2016,3.53
Dawn Day Part 1,9.1,2008,100.0
Dawn Effect,8.6,2003,11.69
Dawn Effect Part 1,3.7,2008,6.43
Dawn Game,8.2,1993,7.17
Dawn Game Part 1,6.2,2015,31.72
Dawn Game Part 2,7.4,2013,30.68
Dawn Night,9.1,1998,18.19
Dawn Protocol,9.7,2020,16.46
Dawn Protocol Part 1,8.5,2017,100.0
Dawn Signal,4.7,2009,23.16
Dawn Theory,4.1,1997,9.09
Dawn Theory Part 1,8.7,2005,22.82
Destiny 1,8.9,2016,3.71
Destiny 3,6.0,2018,100.0
Destiny 4,9.1,2017,0.2
Destiny 4 Part 1,4.3,2022,17.59
Destiny 4 Part 2,7.4,2001,49.68
Destiny 4 Part 3,8.3,2007,7.76
Destiny 4 Part 4,5.3,2010,6.57
Destiny 5,7.7,2004,100.0
Destiny 5 Part 1,8.5,2020,2.93
Destiny Code,8.5,2006,9.17
Destiny Game,5.2,2020,11.72
Destiny Protocol,7.7,2000,4.21
Destiny Signal,8.3,2022,4.05
Destiny Signal Part 1,5.4,2020,6.02
Destiny Theory,7.2,1999,42.88
Dragon 1,8.7,2019,7.1
Dragon 2,7.8,2018,100.0
Dragon 2 Part 1,8.3,2020,26.63
Dragon 2 Part 2,9.3,2020,100.0
Dragon 3,8.3,2007,61.56
Dragon 3 Part 1,8.3,2011,4.7
Dragon 3 Part 2,7.4,2019,14.24
Dragon 4,7.0,1996,7.4
Dragon Day,7.7,2020,0.94
Dragon Effect,4.4,2003,0.71
Dragon Effect Part 1,7.9,1995,27.44
Dragon Game,5.1,2003,2.94
Dragon Game Part 1,9.0,2019,1.46
Dragon Night,7.5,2023,24.57
Dragon Project,8.7,2010,78.06
Dragon Project Part 1,8.7,2007,8.69
Dragon Project Part 2,9.1,1993,4.3
Eclipse 1,8.7,2020,20.54
Eclipse 2,4.3,2003,42.2
Eclipse 3,7.6,2023,2.07
Eclipse 3 Part 1,7.4,2004,2.1
Eclipse 3 Part 2,9.6,2012,2.78
Eclipse 4,5.1,2020,19.02
Eclipse 5,5.4,1996,5.86
Eclipse 5 Part 1,5.8,2008,17.03
Eclipse 5 Part 2,6.3,2019,27.42
Eclipse Day,4.2,2020,12.9
Eclipse Day Part 1,6.2,2014,100.0
Eclipse Day Part 2,7.5,2009,50.89
Eclipse Game,5.1,2014,3.16
Eclipse Project,7.9,2004,2.53
Eclipse Project Part 1,4.8,2020,7.66
Eclipse Project Part 2,7.4,2012,2.73
Eclipse Protocol,5.7,2008,5.22
Eclipse Protocol Part 1,8.1,2023,60.18
Eclipse Signal,5.5,2022,100.0
Eclipse Signal Part 1,6.0,2009,100.0
Eclipse Theory,6.7,2006,23.45
Eclipse Theory Part 1,8.7,2010,1.67
Empire 1,8.0,1995,100.0
Empire 1 Part 1,7.7,2001,52.92
Empire 3,8.2,2019,95.17
Empire 3 Part 1,7.6,1988,19.78
Empire Code,9.0,2009,2.01
Empire Day,7.4,2006,6.16
Empire Day Part 1,8.9,2012,10.64
Empire Day Part 2,5.8,2005,7.54
Empire Effect,6.5,2009,76.47
Empire Game,8.6,2005,1.1
Empire Game Part 1,7.0,2021,0.26
Empire Night,8.4,2019,9.46
Empire Night Part 1,5.2,2021,25.79
Empire Protocol,7.7,2013,13.49
Empire Protocol Part 1,9.2,1990,4.9
Empire Protocol Part 2,7.8,1998,3.57
Empire Signal,6.7,2022,0.85
Empire Signal Part 1,7.9,2019,9.24
Fall of Destiny Legacy,6.0,2017,5.09
Fall of Guardian Chronicles,7.0,2018,100.0
Fall of Guardian Lost,6.7,2017,2.24
Fall of Hunter Divided,7.8,2008,26.69
Fall of Midnight Awakened,7.0,2008,55.3
Fall of Mountain Forever,6.1,2017,1.06
Fall of Mountain Origins,6.4,2010,23.72
Fall of Ocean United,8.6,2004,5.03
Fall of Paradise Lost,8.8,2024,12.67
Fall of Phoenix,9.0,2003,30.31
Fall of Phoenix Chronicles,6.1,2010,15.85
Fall of Phoenix Chronicles Part 1,6.7,2020,65.55
Fall of Phoenix Rises,7.0,2022,1.24
Fall of Shadow Forever,9.1,2020,34.54
Fall of Shadow Legacy,8.0,2006,11.82
Fall of Shadow Origins,9.7,1997,1.75
Fall of Shadow Reborn,5.2,2013,27.8
Fall of Storm Legacy,7.7,2012,13.67
